id,rate
3630000,0.2
3630001,0.3
3630002,0.5
3630003,0.5
3630004,0.3
3630005,0.4
3630006,0.3
3630007,0.4
3630008,0.3
3630009,0.4
3630110,-99999999.0
3630111,-99999999.0
3630212,0.2
3630213,0.4
3630214,0.3
3630215,0.5
3630216,0.3
3630217,0.3
3630218,0.3
3630219,0.3
3630220,0.4
3630221,0.4
3630222,0.5
3630236,0.5
3630237,0.4
3630238,0.4
3630239,0.4
3630240,0.4
3630241,0.3
3630242,0.3
3630243,0.4
3630375,-99999999.0
3630376,0.5
3630377,0.5
3630378,0.6
3630379,0.9
3630380,1.3
3630381,0.6
3630382,0.6
3630383,0.6
3630384,1.0
3630385,0.5
3630386,0.4
3630387,0.5
3630388,0.9
3630424,0.3
3630425,0.3
3630426,0.3
3630444,0.5
3630445,0.4
3630446,0.7
3630447,0.7
3630448,0.5
3630449,0.8
3630450,0.4
3630452,0.5
3630453,0.4
3630454,0.4
3630459,1.0
3630490,0.9
3630491,0.6
3630527,0.4
3630528,0.3
3630529,0.3
3630530,0.3
3630531,0.3
3630532,0.4
3630533,0.6
3630534,0.2
3630535,0.7
3630551,0.7
3630555,0.5
3630556,0.5
3630557,0.5
3630558,0.6
3630574,-99999999.0
3630660,0.5
3630661,0.4
3630662,0.7
3630663,0.7
3630664,1.0
3630665,0.7
3630666,0.8
3630667,0.9
3630668,0.6
3630669,0.6
3630670,0.6
3630671,1.3
3630672,-99999999.0
3630673,1.2
3630792,-99999999.0
3630793,0.4
3630794,0.5
3630795,0.6
3630796,0.5
3630797,0.7
3630798,1.1
